Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
101.39,27.92,3.9,2016-12-25 07:26:06,1482621966,12,四川凉山州木里县
105.6,29.47,4.8,2016-12-27 08:17:32,1482797852,13,重庆荣昌区
105.55,29.43,3.9,2016-12-28 12:43:50,1482900230,13,重庆荣昌区
104.72,28.16,4.2,2017-01-15 18:05:35,1484474735,15,四川宜宾市珙县
104.73,28.14,3.7,2017-01-15 19:20:53,1484479253,15,四川宜宾市筠连县
104.76,28.1,4.3,2017-01-18 22:35:13,1484750113,16,四川宜宾市筠连县
103.61,30.1,3.6,2017-01-25 14:38:03,1485326283,17,四川眉山市东坡区
104.72,28.09,4.9,2017-01-28 02:46:32,1485542792,17,四川宜宾市筠连县
104.7,28.15,3.7,2017-02-02 08:34:29,1485995669,18,四川宜宾市筠连县
103.36,27.07,4.9,2017-02-08 19:11:38,1486552298,19,云南昭通市鲁甸县
103.38,31.02,4.0,2017-02-26 03:24:50,1488050690,21,四川阿坝州汶川县
103.4,27.09,4.5,2017-03-12 20:21:17,1489321277,23,云南昭通市鲁甸县
99.83,25.87,4.7,2017-03-27 07:40:28,1490571628,26,云南大理州漾濞县
99.8,25.89,5.1,2017-03-27 07:55:00,1490572500,26,云南大理州漾濞县
99.81,25.85,4.3,2017-03-27 09:10:26,1490577026,26,云南大理州漾濞县
103.36,27.11,3.6,2017-03-30 07:48:17,1490831297,26,云南昭通市鲁甸县
104.56,32.21,3.7,2017-04-11 02:25:05,1491848705,28,四川绵阳市平武县
103.97,31.44,3.9,2017-04-23 05:26:57,1492896417,29,四川德阳市什邡市
104.87,28.19,4.9,2017-05-04 13:40:20,1493876420,31,四川宜宾市珙县
99.34,25.65,3.7,2017-05-20 00:02:15,1495209735,33,云南大理州云龙县
103.18,31.31,3.9,2017-06-06 14:04:58,1496729098,36,四川阿坝州汶川县
104.67,28.16,3.6,2017-06-26 08:47:43,1498438063,39,四川宜宾市筠连县
101.71,25.12,4.1,2017-07-02 14:34:56,1498977296,39,云南楚雄州禄丰县
105.36,32.38,4.9,2017-07-17 06:55:59,1500245759,42,四川广元市青川县
103.82,33.2,7.0,2017-08-08 21:19:46,1502198386,45,四川阿坝州九寨沟县
103.76,33.3,3.6,2017-08-09 05:16:02,1502226962,45,四川阿坝州九寨沟县
103.87,33.12,3.6,2017-08-09 05:37:14,1502228234,45,四川阿坝州九寨沟县
103.87,33.12,3.7,2017-08-09 08:10:09,1502237409,45,四川阿坝州九寨沟县
103.8,33.28,3.9,2017-08-09 08:29:04,1502238544,45,四川阿坝州九寨沟县
103.85,33.16,3.8,2017-08-09 09:22:14,1502241734,45,四川阿坝州九寨沟县
103.75,33.28,3.7,2017-08-09 09:32:47,1502242367,45,四川阿坝州九寨沟县
103.86,33.16,4.8,2017-08-09 10:17:02,1502245022,45,四川阿坝州九寨沟县
103.79,33.22,3.7,2017-08-10 03:02:13,1502305333,45,四川阿坝州九寨沟县
103.85,33.16,4.3,2017-08-10 05:05:54,1502312754,45,四川阿坝州九寨沟县
103.85,33.22,4.1,2017-08-10 17:48:34,1502358514,45,四川阿坝州九寨沟县
103.87,33.12,3.7,2017-08-12 07:56:39,1502495799,45,四川阿坝州九寨沟县
105.42,28.93,3.6,2017-09-12 00:35:04,1505147704,50,四川泸州市龙马潭区
