,Day,average_day_max_mean_magn,average_day_min_mean_magn,average_day_mean_max_magn,average_day_mean_min_magn,average_mean_magn,average_max_magn,average_min_magn,average_max_min_magn,average_lastday_mean_magn,average_lastday_max_magn,average_lastday_min_magn,average_lastday_max_min_magn,diff_1_day_max_mean_magn,diff_1_day_min_mean_magn,diff_1_day_mean_max_magn,diff_1_day_mean_min_magn,diff_1_mean_magn,diff_1_max_magn,diff_1_min_magn,diff_1_max_min_magn,diff_1_lastday_mean_magn,diff_1_lastday_max_magn,diff_1_lastday_min_magn,diff_1_lastday_max_min_magn,average_day_max_mean_sound,average_day_min_mean_sound,average_day_mean_max_sound,average_day_mean_min_sound,average_mean_sound,average_max_sound,average_min_sound,average_max_min_sound,average_lastday_mean_sound,average_lastday_max_sound,average_lastday_min_sound,average_lastday_max_min_sound,diff_1_day_max_mean_sound,diff_1_day_min_mean_sound,diff_1_day_mean_max_sound,diff_1_day_mean_min_sound,diff_1_mean_sound,diff_1_max_sound,diff_1_min_sound,diff_1_max_min_sound,diff_1_lastday_mean_sound,diff_1_lastday_max_sound,diff_1_lastday_min_sound,diff_1_lastday_max_min_sound,label_M,label_long,label_lati
1,175,0.18809448952394675,-0.9307097961903389,-0.5994522075660003,-0.647907253862297,-0.6204589786514425,0.235513060952518,-0.9514059390474818,1.1869189999999998,-0.6162188657614303,0.1299630609525182,-0.9214769390474818,1.05144,0.8172918571428571,-0.8946241428571426,0.0008264328703703706,-0.00037968481375358235,0.00011233113311331142,0.940453,-0.9942199999999999,1.9346729999999999,-0.00025651300236406585,0.849285,-0.9942199999999999,1.843505,0.005658360338717542,-0.002493865375568172,-0.0003964243735840461,-0.0008437851767811105,-0.0007057613129372532,0.0167437931958604,-0.003906406804139601,0.0206502,-0.0008437851767811105,0.003875623195860399,-0.003906406804139601,0.00778203,0.005438071428571429,-0.005986118571428571,2.0003240740740726e-06,-3.2116898148148133e-06,-7.522507331378283e-07,0.012502220000000001,-0.01651101,0.02901323,2.7316037735849053e-07,0.0036756899999999997,-0.00358121,0.0072569,0,-1,-1
2,182,-0.060474081904624666,-0.9688665676189104,-0.6218968492129666,-0.7255624209919264,-0.6876952349573588,0.13419306095251815,-0.9853459390474818,1.119539,-0.7113989884301976,-0.13871093904748177,-0.9853459390474818,0.846635,0.6082101428571428,-0.6471171428571427,0.0008530969267139477,-0.0017570997679814378,-8.438544194107453e-05,0.7867000000000002,-0.8879410000000001,1.6746410000000003,-5.169382716049344e-05,0.5400630000000001,-0.523254,1.063317,0.005458731767288971,-0.0032089868041396004,-0.0007444310964829885,-0.0009119580573365327,-0.0008416100259766867,0.0159575931958604,-0.003906406804139601,0.019864,-0.0008535447671025623,0.003447983195860399,-0.003906406804139601,0.00735439,0.006251674285714287,-0.006434790000000001,1.6788235294117658e-06,-2.6678009259259277e-06,-3.828076256499173e-08,0.01646238,-0.01706796,0.03353034,-1.4343703703703682e-06,0.0035688000000000004,-0.00457789,0.008146690000000002,0,-1,-1
3,189,-0.09288293904748182,-0.9586573819046248,-0.6652298696030375,-0.7196877939085932,-0.6810062264228972,-0.03605693904748186,-1.0418640390474818,1.0058071,-0.6659341753243313,-0.09536493904748189,-0.9226969390474818,0.827332,0.5827092857142855,-0.5702648571428569,0.000547900462962963,-0.0003436342592592592,-1.58677740863788e-05,0.6417099999999999,-0.6247099999999999,1.2664199999999997,-0.00012571599045346096,0.6417099999999999,-0.57882,1.22053,0.003921700338717543,-0.0017824210898538864,-0.0007379664106210812,-0.0008278494661766371,-0.00078404494097122,0.004585643195860399,-0.003906406804139601,0.00849205,-0.0007936416490083359,0.004246393195860399,-0.003906406804139601,0.0081528,0.004012988571428574,-0.00375449,4.30875e-06,-4.745393794749403e-06,6.677847891066085e-08,0.005078839999999999,-0.004328359999999999,0.009407199999999998,-4.745393794749403e-06,0.0042604,-0.00429338,0.00855378,0,-1,-1
4,196,-0.11016193904748185,-0.9271039390474819,-0.6782486473808155,-0.7209113460242255,-0.7007272296216606,0.034913060952518116,-0.9640059390474818,0.9989189999999999,-0.7104524193259039,-0.11953093904748191,-0.9580129390474819,0.838482,0.4484874285714283,-0.5040514285714285,0.0005212880562060889,-0.0004972476851851851,9.133753733820147e-06,0.545718,-0.708274,1.253992,0.0003294269141531327,0.45601800000000003,-0.37095199999999995,0.82697,0.0048602217672889724,-0.0017776139469967438,-0.0007099641823298555,-0.0008262643890161429,-0.0007547175526194227,0.0100226931958604,-0.003906406804139601,0.0139291,-0.0007099641823298555,0.004565743195860399,-0.0014103368041396007,0.00597608,0.004668680000000002,-0.0051746485714285724,1.1759396751740145e-06,-9.075348837209293e-07,4.5031509121061186e-08,0.00845628,-0.01067414,0.019130420000000002,5.520649651972175e-07,0.00286825,-0.00378725,0.0066555,0,-1,-1
5,203,-0.055870224761767506,-0.9233443676189103,-0.6614314524294775,-0.7075669228437784,-0.6872352904979646,-0.01957693904748181,-0.9406319390474818,0.921055,-0.6614314524294775,-0.020046939047481782,-0.9406319390474818,0.920585,0.6153444285714282,-0.5703597142857141,0.00044711574074074087,-0.0004171165501165503,5.052617539179723e-05,0.741516,-0.62562,1.367136,0.00034962530413625286,0.647843,-0.62562,1.273463,0.003612697481574688,-0.0017683010898538866,-0.0006826660402507118,-0.0009235021341061869,-0.0007496038349119571,0.0047667931958604,-0.003906406804139601,0.0086732,-0.0009235021341061869,0.001694373195860399,-0.003906406804139601,0.00560078,0.0038844800000000035,-0.003692785714285714,3.3556018518518527e-06,-2.2415046296296303e-06,2.732377459153052e-07,0.00475823,-0.004798460000000001,0.00955669,-1.3497560975609775e-06,0.00378342,-0.00379441,0.00757783,0,-1,-1
6,210,-0.06902265333319609,-0.9345595390474818,-0.6492454992326672,-0.695973800158593,-0.6796202784313848,0.05506306095251823,-0.9993331390474818,1.0543962,-0.695973800158593,-0.1722129390474818,-0.9185469390474819,0.746334,0.6533661428571428,-0.5891215714285714,0.0001571435185185185,-0.00023916861826697898,-2.034481616429283e-05,0.6840840000000001,-0.6785990000000001,1.362683,8.249537037037e-05,0.6840840000000001,-0.532108,1.2161920000000002,0.004135890338717545,-0.0017668896612824585,-0.0007406682624729348,-0.0009271250680284892,-0.0008254989813506001,0.0060357031958604,-0.003906406804139601,0.00994211,-0.0008091996282136747,0.0033817831958603993,-0.0013949368041396007,0.00477672,0.004687854285714289,-0.004144191428571428,3.1673148148148155e-06,-3.0466435185185183e-06,-3.009042729380592e-07,0.0070278400000000005,-0.0059689700000000005,0.012996810000000001,2.0993055555555666e-07,0.0039038899999999997,-0.00362848,0.00753237,4.9,104.87,28.19
7,217,-0.09870251047605325,-0.9365063390474818,-0.6951364243415995,-0.7161777194213137,-0.7041490296603058,-0.006886939047481722,-0.9806187390474819,0.9737318000000001,-0.6952100156136072,-0.0699689390474818,-0.9174529390474818,0.847484,0.5427702857142858,-0.6299328571428571,0.0003850461165048543,-0.00024266782006920396,5.336202621324832e-05,0.621654,-0.684381,1.306035,0.000128134570765661,0.58417,-0.665095,1.2492649999999998,0.006518463195860402,-0.0024767510898538866,-0.0007577808550655264,-0.0008960087601298213,-0.0008216771212462173,0.0121901931958604,-0.003906406804139601,0.0160966,-0.0007775399291396008,0.004856983195860399,-0.0014000368041396007,0.006257019999999999,0.006191990000000003,-0.006736560000000001,2.354474327628362e-06,-3.977542579075423e-06,8.317106616386724e-08,0.01339715,-0.01319789,0.02659504,8.67361111111112e-07,0.00541148,-0.00554237,0.01095385,0,-1,-1
8,224,-0.12060865333319608,-0.9474911390474822,-0.6936644582255638,-0.713182402010444,-0.7025819969620114,-0.0488069390474819,-0.9682898390474818,0.9194828999999999,-0.713182402010444,-0.0488069390474819,-0.9239529390474819,0.875146,0.5396504285714286,-0.653304,0.00011438888888888867,-0.0005341807511737087,-4.3406153846153865e-05,0.700197,-0.683619,1.383816,0.00010965740740740734,0.700197,-0.6243289999999999,1.3245259999999999,0.0038254503387175473,-0.0024721539469967435,-0.000737566711547008,-0.00104246381783823,-0.0008376595177417897,0.0048275531958604,-0.003906406804139601,0.00873396,-0.0007887113180284894,0.0035913531958603993,-0.0013844868041396007,0.0049758400000000005,0.004474357142857147,-0.004359521428571428,1.87324074074074e-06,-2.752939814814815e-06,-1.043164730006837e-07,0.00800499,-0.005566840000000001,0.01357183,1.084259259259255e-07,0.00289737,-0.00378588,0.00668325,0,-1,-1
9,231,-0.07423365333319608,-0.8853385104760539,-0.66036975899208,-0.6960539390474816,-0.6877503924215058,-0.005896939047481897,-0.8967619390474818,0.8908649999999999,-0.6808186589548891,-0.08795893904748175,-0.8919709390474818,0.8040120000000001,0.6141551428571429,-0.6366424285714284,0.000142997685185185,-0.0002495034802784222,2.728721600542566e-06,0.6557649999999999,-0.6458569999999999,1.3016219999999998,0.000142997685185185,0.61235,-0.641635,1.253985,0.003898473195860404,-0.001748092518425316,-0.0007098265797006982,-0.0010115827044166086,-0.0007786436453442572,0.005532033195860399,-0.003906406804139601,0.00943844,-0.0007650161096951563,0.005532033195860399,-0.0013897168041396009,0.006921749999999999,0.004223490000000004,-0.004014125714285715,9.027083333333321e-07,-1.284155124653738e-06,-1.530116358658494e-08,0.005335209999999999,-0.00556746,0.01090267,-2.885185185185187e-07,0.005335209999999999,-0.00556746,0.01090267,0,-1,-1
10,238,0.00035448952394674064,-0.9302887390474822,-0.6737044565299993,-0.6950784316665296,-0.6830448248330994,0.15196306095251821,-1.0107855390474818,1.1627486,-0.684929950648409,-0.05039693904748188,-0.9479879390474818,0.8975909999999999,0.6766085714285716,-0.6926204285714285,0.00031987703016241265,-0.0001697546296296294,-1.2626498002662161e-06,0.774122,-0.763373,1.5374949999999998,0.00015114153132250613,0.610968,-0.6432780000000001,1.2542460000000002,0.0031655217672889755,-0.00186624823271103,-0.0007486358087692303,-0.0008850414428342383,-0.0008156322716379393,0.004998613195860399,-0.003906406804139601,0.00890502,-0.0007486358087692303,0.003732503195860399,-0.0013680268041396009,0.00510053,0.003525470000000004,-0.003598172857142858,3.869027777777779e-06,-5.043433874709978e-06,1.2235761809713907e-06,0.0048847100000000004,-0.00495094,0.009835650000000001,3.869027777777779e-06,0.0035476300000000004,-0.0035938500000000004,0.00714148,0,-1,-1
